>> Engine created.
Таблица:  bank
(18, '2', '5007', '00', '00', 0, 0)
(18, '2', '2501', '01', '00', 0, 0)
(18, '2', '2501', '03', '00', 0, 0)
(18, '2', '4103', '24', '00', 0, 0)
(18, '2', '1401', '07', '00', 0, 0)
(18, '2', '1905', '02', '00', 0, 0)
(18, '2', '2406', '21', '00', 0, 0)
(18, '2', '1901', '01', '01', 1290, 0)
(18, '2', '1901', '02', '01', 0, 0)
(18, '2', '1901', '03', '01', 70705, 0)
(18, '3', '1905', '02', '00', 0, 0)
(18, '3', '2406', '21', '00', 0, 0)
(18, '3', '1302', '01', '00', 6001, 0)
(18, '3', '1302', '04', '01', 6100, 0)
(18, '3', '1901', '01', '01', 2432, 0)
(18, '3', '1901', '02', '01', 0, 0)
(18, '3', '1901', '03', '01', 133407, 0)
(18, '3', '1303', '01', '00', 0, 0)
(18, '5', '0280', '14', '00', 0, 0)
(18, '1', '1101', '06', '01', 0, 1)
(18, '1', '1301', '02', '00', 0, 1)
(18, '1', '1302', '04', '00', 0, 1)
(18, '1', '1303', '02', '00', 0, 1)
(18, '1', '2201', '03', '00', 0, 1)
(18, '1', '1804', '01', '00', 94800, 1)
(18, '1', '1804', '02', '00', 23000, 1)
(18, '1', '1804', '06', '00', 0, 1)
(18, '1', '1804', '09', '00', 0, 1)
(18, '1', '1804', '14', '00', 0, 1)
(18, '1', '1904', '01', '00', 60125, 1)
(18, '1', '2105', '00', '00', 929589, 1)
(18, '1', '2108', '05', '00', 0, 1)
(18, '1', '2209', '01', '00', 646, 1)
(18, '1', '2209', '04', '00', 1700, 1)
(18, '1', '2108', '11', '00', 0, 1)
(18, '1', '2406', '03', '00', 0, 1)
(18, '1', '4101', '06', '00', 1502676, 1)
(18, '1', '4102', '01', '00', 31468021.000000004, 1)
(18, '1', '4102', '03', '00', 6392258, 1)
(18, '1', '4102', '09', '00', 0, 1)
(18, '1', '3101', '02', '00', 0, 1)
(18, '1', '4103', '06', '01', 0, 1)
(18, '1', '4103', '52', '01', 0, 1)
